Place Name,Category,Address,Rating,Key Features/Highlights,Opening Hours,Contact Information,Price Range,Accessibility Information,Best Time to Visit,Reviews,Model_Training_Text_Feature
Anjuna Fort,Adventure,Anjuna,4,Small coastal fort with ruins and sea views, popular for casual visits and photos.,Sunrise - Sunset,Not available,Free,Partially Accessible,October - May,"Place Name: Anjuna Fort
Address: Anjuna
Rating: 4
Key Features/Highlights: Small coastal fort with ruins and sea views
Price Range: Not available
Best Time to Visit: Partially Accessible
Reviews: October - May"
Cabo de Rama,Adventure,15 km, India,"Reviewer: Ananya, 2023-04-10, Rating: 5, Text: Dramatic cliffs and sea views.;Reviewer: Rohan, 2023-07-15, Rating: 4, Text: Nice for a short picnic.;Reviewer: Tina, 2024-02-18, Rating: 4, Text: Clear ocean and great for photos.",Fort ruins on a cliff overlooking the sea, with panoramic views and calm surroundings.,Sunrise - Sunset,Not available,Free,Partially Accessible,"Place Name: Cabo de Rama
Address: 15 km
Rating:  India
Key Features/Highlights: Reviewer: Ananya, 2023-04-10, Rating: 5, Text: Dramatic cliffs and sea views.;Reviewer: Rohan, 2023-07-15, Rating: 4, Text: Nice for a short picnic.;Reviewer: Tina, 2024-02-18, Rating: 4, Text: Clear ocean and great for photos.
Price Range: Sunrise - Sunset
Best Time to Visit: Free
Reviews: Partially Accessible"
Chapora Fort,Adventure,Bardez,4.2,Portuguese fort ruins overlooking Chapora River and beaches, popular for photos and sunsets.,Sunrise - Sunset,Not available,Free,Partially Accessible,October - May,"Place Name: Chapora Fort
Address: Bardez
Rating: 4.2
Key Features/Highlights: Portuguese fort ruins overlooking Chapora River and beaches
Price Range: Not available
Best Time to Visit: Partially Accessible
Reviews: October - May"
Grand Island (Divar),Adventure,"Reis Magos jetty, Goa",4.4,"Scuba diving, snorkeling, dolphin spotting, coral reefs.",9AM-4PM,+91 98221 88888,$$$,Boat access,Oct-May,"{""reviewer"": ""Amit K."", ""date"": ""2025-05-15"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-05-25"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-04-21"", ""text"": ""Family friendly spot."", ""rating"": ""4""}","Place Name: Grand Island (Divar)
Address: Reis Magos jetty, Goa
Rating: 4.4
Key Features/Highlights: Scuba diving, snorkeling, dolphin spotting, coral reefs.
Price Range: $$$
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Amit K."", ""date"": ""2025-05-15"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-05-25"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-04-21"", ""text"": ""Family friendly spot."", ""rating"": ""4""}"
Agonda Beach,Beach,"Agonda, Canacona, Goa 403706",4.6,"Virgin beach, turtle sanctuary, yoga retreats, tranquility.",24 Hours,Not available,Free,Partial,Nov-Mar,"{""reviewer"": ""Priya M."", ""date"": ""2025-12-13"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-07-08"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-05-28"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}","Place Name: Agonda Beach
Address: Agonda, Canacona, Goa 403706
Rating: 4.6
Key Features/Highlights: Virgin beach, turtle sanctuary, yoga retreats, tranquility.
Price Range: Free
Best Time to Visit: Nov-Mar
Reviews: {""reviewer"": ""Priya M."", ""date"": ""2025-12-13"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-07-08"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-05-28"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}"
Anjuna Beach,Beach,"Anjuna, Bardez, Goa 403509",4.4,"Wednesday Flea Market, hippie vibe, sunset drums, full moon parties.",24 Hours,Not available,Free,Limited,Oct-Apr,"{""reviewer"": ""Sneha R."", ""date"": ""2025-11-01"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-02-25"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2026-01-16"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Rahul S."", ""date"": ""2026-01-06"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2025-12-26"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-05-20"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}","Place Name: Anjuna Beach
Address: Anjuna, Bardez, Goa 403509
Rating: 4.4
Key Features/Highlights: Wednesday Flea Market, hippie vibe, sunset drums, full moon parties.
Price Range: Free
Best Time to Visit: Oct-Apr
Reviews: {""reviewer"": ""Sneha R."", ""date"": ""2025-11-01"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Vikram P."", ""date"": ""2025-02-25"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2026-01-16"", ""text"": ""Great experience overall."", ""rating"": ""4""}; {""reviewer"": ""Rahul S."", ""date"": ""2026-01-06"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2025-12-26"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-05-20"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}"
Anjuna Beach,Beach,Bardez,4.2,Known for flea markets, trance parties, and a relaxed hippieâ€‘style atmosphere.,24 Hours (Beach),Not available,Free,Partially Accessible,"Place Name: Anjuna Beach
Address: Bardez
Rating: 4.2
Key Features/Highlights: Known for flea markets
Price Range: 24 Hours (Beach)
Best Time to Visit: Free
Reviews: Partially Accessible"
Arambol Beach,Beach,"Arambol, Pernem, Goa 403524",4.4,"Bohemian paradise, paragliding, drum circles, Sweet Lake.",24 Hours,Not available,Free,Limited,Nov-Mar,"{""reviewer"": ""Vikram P."", ""date"": ""2025-12-05"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2025-11-20"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-03-01"", ""text"": ""Great experience overall."", ""rating"": ""4""}","Place Name: Arambol Beach
Address: Arambol, Pernem, Goa 403524
Rating: 4.4
Key Features/Highlights: Bohemian paradise, paragliding, drum circles, Sweet Lake.
Price Range: Free
Best Time to Visit: Nov-Mar
Reviews: {""reviewer"": ""Vikram P."", ""date"": ""2025-12-05"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Priya M."", ""date"": ""2025-11-20"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Amit K."", ""date"": ""2025-03-01"", ""text"": ""Great experience overall."", ""rating"": ""4""}"
Baga Beach,Beach,"Baga, Calangute, Goa 403516",4.3,"Water sports hub, nightlife capital, Saturday flea market, jet skiing, parasailing, 3km stretch.",24 Hours,Not available,Free,Partial ramps,Oct-May,"{""reviewer"": ""Priya M."", ""date"": ""2025-11-05"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-08-30"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Vikram P."", ""date"": ""2026-01-14"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-03-02"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-09-26"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Amit K."", ""date"": ""2025-03-10"", ""text"": ""Great experience overall."", ""rating"": ""4""}","Place Name: Baga Beach
Address: Baga, Calangute, Goa 403516
Rating: 4.3
Key Features/Highlights: Water sports hub, nightlife capital, Saturday flea market, jet skiing, parasailing, 3km stretch.
Price Range: Free
Best Time to Visit: Oct-May
Reviews: {""reviewer"": ""Priya M."", ""date"": ""2025-11-05"", ""text"": ""Perfect for beach lovers!"", ""rating"": ""5""}; {""reviewer"": ""Neha G."", ""date"": ""2025-08-30"", ""text"": ""Romantic and beautiful."", ""rating"": ""5""}; {""reviewer"": ""Vikram P."", ""date"": ""2026-01-14"", ""text"": ""Best in Goa! 5 stars."", ""rating"": ""5""}; {""reviewer"": ""Rahul S."", ""date"": ""2025-03-02"", ""text"": ""Amazing place! Must visit!"", ""rating"": ""5""}; {""reviewer"": ""Sneha R."", ""date"": ""2025-09-26"", ""text"": ""Family friendly spot."", ""rating"": ""4""}; {""reviewer"": ""Amit K."", ""date"": ""2025-03-10"", ""text"": ""Great experience overall."", ""rating"": ""4""}"
Baga Beach,Beach,Calangute,4.3,Famous for water sports, vibrant nightlife, beach shacks, scenic sunsets.,24 Hours (Beach),Not available,Free,"Place Name: Baga Beach
Address: Calangute
Rating: 4.3
Key Features/Highlights: Famous for water sports
Price Range:  scenic sunsets.
Best Time to Visit: Not available
Reviews: Free"
